ubicacion_raw,latitud,longitud
"Av. 1-A 14, San José De La Escalera, Gustavo A. Madero, 07630 Ciudad De México, CDMX, Mexico, San José De La Escalera, Gustavo A. Madero, Distrito Federal",19.5256478,-99.1699966
"Calle Pesetas 39, Héroes De Cerro Prieto, Gustavo A. Madero, Distrito Federal",19.4525379,-99.0977804
"Alberto Herrera, Aragón, La Villa 75, Aragón La Villa, Gustavo A. Madero, Distrito Federal",19.4811544,-99.1139134
"Oriente 101, Gertrudis Sánchez III Secc, Ciudad De México, Gertrudis Sánchez 2a Secc., Gustavo A. Madero, Distrito Federal",19.4608321,-99.1053818
"Av. De Los Pinos 171, Amp La Providencia, Ciudad De México, La Pradera, Gustavo A. Madero, Distrito Federal",19.4778547,-99.0684527
"Lindavista, Mexico City, Capultitlán, Gustavo A. Madero, Distrito Federal",19.4880621,-99.1350725
"Solidaridad Nacional, Gustavo A. Madero, Distrito Federal",19.5337832,-99.1536919
"Av. 483 1 - 300, San Juan De Aragón VII Secc, Ciudad De México, San Juan De Aragón 7a Secc., Gustavo A. Madero, Distrito Federal",19.4697662,-99.0750831
"Casa Multifamiliar En San Juan De Aragón Iii, Gam. Cdmx, Gustavo A. Madero, Distrito Federal",,
"Av Politécnico Nacional, Col. Lindavista, Gustavo A. Madero, Distrito Federal",19.5028863,-99.1311018
"Av Politécnico, Col. Lindavista, Gustavo A. Madero, Distrito Federal",19.5020712,-99.1313603
"Parque Metropolitano, Gustavo A. Madero, Distrito Federal",19.5682242,-99.1310044
"Residencial Zacatenco, Gustavo A. Madero, Distrito Federal",19.5052162,-99.1257391
"Av. Ing. Eduardo Molina, Salvador Díaz Mirón, Gustavo A. Madero, Distrito Federal",,
"Av Instituto Politécnico Nacional 2027, Lindavista Norte, Gustavo A. Madero, Distrito Federal",19.5028863,-99.1311018
"Cuitlahuac 38, Guadalupe Victoria, Gustavo A. Madero, Distrito Federal",19.4948668,-99.1170794
"Av. Gral. Martín Carrera, Martín Carrera, Gustavo A. Madero, Distrito Federal",,
"Otavalo Sn, Lindavista Norte, Gustavo A. Madero, Distrito Federal",19.4929832,-99.1334245
"Latacunga S/N, Lindavista Norte, Gustavo A. Madero, Distrito Federal",19.4955737,-99.1240139
"San Bartolo Atepehuacan Sn, San Bartolo Atepehuacan, Gustavo A. Madero, Distrito Federal",19.4933278,-99.1413426
"Gustavo A. Madero, Distrito Federal",19.4848583,-99.1178571
"San José De La Escalera, Gustavo A. Madero, Distrito Federal",19.5226835,-99.1655253
"Andador 37 Luis Yuren 10 Mz. 6, El Risco CTM, Gustavo A. Madero, Distrito Federal",,
"Ayacucho 50, Torres Lindavista, Gustavo A. Madero, Distrito Federal",19.5100608,-99.1477123
"Cuautepec De Madero, Gustavo A. Madero, Distrito Federal",19.5577737,-99.1354215
"Ticoman, Gustavo A. Madero, Distrito Federal",19.5364748,-99.1413736
"Excelsior 83, Industrial, Gustavo A. Madero, Distrito Federal",19.4753497,-99.1328779
"MATANZAS, Residencial Zacatenco, Gustavo A. Madero, Distrito Federal",19.5006025,-99.1249854
"Calle De La Ola, Acueducto De Guadalupe, Gustavo A. Madero, Distrito Federal",19.5254925,-99.1541398
"Martín Carrera, Gustavo A. Madero, Distrito Federal",19.4823204,-99.1058514
"Corona, Industrial, Gustavo A. Madero, Distrito Federal",19.5554419,-99.1421307
"Alicia 38, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",19.4692214,-99.1225579
"Puerto Madero, Ampliación Casas Alemán, Gustavo A. Madero, Distrito Federal",19.4764273,-99.0793716
"Buenavista 600, Gustavo A. Madero, Distrito Federal",19.4951406,-99.1428186
"CIENFUEGOS 1000, San Pedro Zacatenco, Gustavo A. Madero, Distrito Federal",19.4915013,-99.1308691
"Calle De Los Farallones 0, Gustavo A. Madero, Distrito Federal",19.5243614,-99.1517115
