colonia_oficial,gentrif_map_score_mean,gentrif_local_mean,price_m2_median,marginalidad_mean,score_15min_mean,n_registros,lat_centroide,lon_centroide,cat_mean_vus_200m_col,cat_mean_antiguedad_200m_col,cat_mean_ratio_construccion_200m_col,gentrification_index_alcaldia
gabriel hernandez (ampl) i,0.7574415368842196,0.5403558050315712,40431.266846361184,4.0,0.7010869565217391,1,19.5040707,-99.0943649,1772.0864203233257,33.78290993071594,3.60849926752127,0.829803447501769
granjas modernas-san juan de aragon (ampl),0.7416716746155905,0.47727635595705453,27672.22222222222,2.0,0.46127717391304346,8,19.4795650125,-99.103930475,2423.9233344312483,34.37635007203389,1.8116788778807738,0.829803447501769
guadalupe insurgentes,0.7519113181463385,0.5182349300800471,45569.620253164554,2.0,0.7104037267080745,7,19.473306385714288,-99.13242454285715,3610.260205873606,45.39320773432417,2.2573619257253297,0.829803447501769
guadalupe proletaria,0.7255367242844761,0.4127365546325972,17000.0,5.0,0.32608695652173914,1,19.5248273,-99.1579753,2192.9214035087716,38.35087719298246,1.3354210186952173,0.829803447501769
guadalupe proletaria (ampl),0.724214332417141,0.4074469871632566,16800.0,4.0,0.32608695652173914,1,19.5217615,-99.1519851,2128.0825885558584,41.53405994550409,1.4256665329847005,0.829803447501769
guadalupe tepeyac,0.743824780662668,0.48588878014536446,35714.27976190476,2.0,0.7487458193979932,26,19.46773981923077,-99.1199316846154,2967.278806724517,39.38298216441629,2.8230310812116803,0.829803447501769
guadalupe victoria ii,0.7444137009494569,0.48824446129252075,32714.285714285714,3.0,0.8333333333333334,3,19.4705752,-99.1391471,3092.4874747082017,34.834867969152555,2.9640587463295844,0.829803447501769
heroe de nacozari,0.7322909551824818,0.4397534782246196,22000.0,3.0,0.8315217391304349,3,19.4728505,-99.1452223,2943.749663461538,41.94230769230769,1.8451109916141364,0.829803447501769
heroes de chapultepec,0.7211376702211048,0.39514033837911167,17605.6338028169,1.0,0.5108695652173914,1,19.4741462,-99.0915049,2444.6199999999994,38.399293286219084,1.0855986987493211,0.829803447501769
industrial i,0.741291805774278,0.4757568805918047,28571.428571428572,2.0,0.7735507246376812,9,19.47299647777778,-99.1250334,3598.245138624826,48.33684921090064,1.7853110335797224,0.829803447501769
industrial ii,0.7539679760333284,0.5264615616280066,39595.1536643026,2.0,0.625,2,19.47630195,-99.12825985,3405.0199999999995,51.79107913187903,1.6039645341206987,0.829803447501769
jorge negrete,0.7439511607845884,0.4863943006330466,25942.118226600986,3.0,0.33559782608695654,4,19.524865875,-99.142043,1520.1365433305837,35.38304210032986,1.3080164635400828,0.829803447501769
juan de dios batiz (u hab),0.7273449680292611,0.41996952961173745,27354.2600896861,1.0,0.40217391304347827,3,19.503612399999998,-99.1300169,3411.9379439608906,44.13135408855822,3.072111451215715,0.829803447501769
juan gonzalez romero,0.7531236385769209,0.5230842118023763,38490.45138888889,3.0,0.6793478260869565,2,19.5039724,-99.0933276,1796.8451380552222,33.644657863145255,3.6567385745969077,0.829803447501769
la candelaria ticoman (barr),0.7758752450627897,0.6140906377458515,48666.666666666664,4.0,0.33152173913043476,1,19.5190987,-99.1363969,1357.7973548387092,25.746236559139785,1.8925432640974478,0.829803447501769
la esmeralda i,0.730537687202972,0.4327404063065808,20833.333333333332,3.0,0.44565217391304346,1,19.4876185,-99.0863827,2745.5299999999993,35.29626078619367,1.8460334417681126,0.829803447501769
la esmeralda ii,0.7543023806189643,0.5277991799705499,30681.81818181818,2.0,0.44021739130434784,1,19.4870554,-99.0860933,2745.5299999999993,31.513215859030836,1.5671783846618659,0.829803447501769
la esmeralda iii,0.7408204579181688,0.473871489167368,24666.666666666668,2.0,0.358695652173913,1,19.4856846,-99.0853431,2745.5299999999997,54.72050209205021,3.138100678183555,0.829803447501769
la laguna ticoman (barr),0.7386528840327325,0.4652011936256231,33971.29186602871,2.0,0.24456521739130435,1,19.5128075,-99.1256184,3254.6361892583122,56.1764705882353,2.2729710404699337,0.829803447501769
la patera-condomodulos (u hab),0.7462627030361837,0.4956404696394275,39325.0,2.0,0.17391304347826086,8,19.5049574,-99.1536746,4574.498857938719,46.55849582172702,3.4155619026826027,0.829803447501769
la pradera,0.7205742258045328,0.3928865607128241,18333.643175032394,1.0,0.2608695652173913,2,19.4760978,-99.06833954999999,2258.1991644204854,42.52027357231025,1.1383079096930135,0.829803447501769
la purisima ticoman (barr),0.7399161147417435,0.4702541164616666,29486.554373522456,1.0,0.3940217391304348,2,19.5151006,-99.13939015,2764.803662101827,39.83538098531386,1.3104359898942055,0.829803447501769
lindavista i,0.7462193846639948,0.4954671961506725,36568.62745098039,2.0,0.5110785953177257,26,19.490328034615384,-99.13292289615384,4217.353848957737,45.55640973681362,1.883456381350263,0.829803447501769
lindavista ii,0.7481692364549861,0.5032666033146374,39111.11111111111,1.0,0.38768115942028986,33,19.502043448484848,-99.13757559393939,4349.9646396064,37.82730177287048,1.5257619444201589,0.829803447501769
magdalena de las salinas,0.7702770523379914,0.5916978668466584,40000.0,2.0,0.4891304347826087,1,19.4790329,-99.1480358,2833.73,40.79044117647059,2.0372442280390706,0.829803447501769
malacates (ampl),0.7779752304288473,0.6224905792100821,46923.07692307692,4.0,0.0,1,19.5759934,-99.1282341,606.4359615384616,29.48076923076923,0.6373331443160141,0.829803447501769
martires de rio blanco (ampl),0.7450075921502795,0.4906200260958107,26472.491909385113,3.0,0.6875,2,19.4612955,-99.105872,2150.4199999999996,49.32835893854749,1.7266005590828577,0.829803447501769
