source,title,location,price,rooms,bathrooms,parking_spaces,area,antiguedad,alcaldia,colonia_o_municipio,latitud,longitud
Casas_iad_inmobiliaria.xlsx,Casa en Venta en Coyoacan CDMX frente a la Prepa 6,"Del Carmen, CP 04100, Ciudad de México",16000000.0,3.0,3.0,2.0,329.0,40.0,Coyoacán,CP 04100,19.3532702,-99.1731614
Casas_iad_inmobiliaria.xlsx,"Se Vende Casa townhouse Amueblada en condominio horizontal alcaldía Benito Juárez,cdmx","Portales Norte, CP 03303, Ciudad de México",7000000.0,3.0,2.0,2.0,165.0,6.0,Benito Juárez,"Norte, CP 03303",19.3487,-99.166
Casas_iad_inmobiliaria.xlsx,CASA EN MILPA ALTA,"Villa Milpa Alta Centro, CP 12000, Ciudad de México",2800000.0,4.0,2.0,3.0,375.0,15.0,Milpa Alta,"Villa  Centro, CP 12000",19.2030445,-99.0525273
Casas_iad_inmobiliaria.xlsx,CASA EN JARDINES DEL PEDREGAL,"Jardines del Pedregal, CP 01900, Ciudad de México",22500000.0,4.0,4.0,8.0,750.0,20.0,Álvaro Obregón,CP 01900,19.3197812,-99.2073801
Casas_iad_inmobiliaria.xlsx,CASA EN JARDINES DE COYOACAN,"Jardines de Coyoacán, CP 04890, Ciudad de México",8950000.0,3.0,5.0,2.0,400.0,25.0,Coyoacán,"Jardines de , CP 04890",19.3141139,-99.1268723
Casas_iad_inmobiliaria.xlsx,Venta de Casa en Col. Juarez.,"Juárez, CP 06600, Ciudad de México",18000000.0,3.0,2.0,2.0,414.0,18.5,Cuauhtémoc,CP 06600,19.4279483,-99.1588279
Casas_iad_inmobiliaria.xlsx,Se vende hermosa casa en Sierra Vertientes  en las Lomas  de Chapultepec,"Lomas de Chapultepec VII Sección, CP 11000, Ciudad de México",55000000.0,5.0,5.0,7.0,988.0,40.0,Miguel Hidalgo,"VII Sección, CP 11000",19.345,-99.1794
Casas_iad_inmobiliaria.xlsx,CASA EN VENTA EN AMPLIACIÓN LAS ÁGUILAS,"Ampliación Las Águilas, CP 01759, Ciudad de México",7550000.0,4.0,3.0,2.0,430.0,48.0,Álvaro Obregón,"Ampliación , CP 01759",19.3490912,-99.2200317
Casas_iad_inmobiliaria.xlsx,CASA EN VENTA DENTRO DE FRACCIONAMIENTO EN CUAJIMALPA DE MORELOS,"Cuajimalpa, CP 05000, Ciudad de México",5383000.0,3.0,2.0,2.0,207.0,30.0,Cuajimalpa de Morelos,CP 05000,19.3572429,-99.2996246
Casas_iad_inmobiliaria.xlsx,Casa en Condominio en Cuajimalpa,"Cuajimalpa, CP 05000, Ciudad de México",17500000.0,4.0,3.0,2.0,746.0,30.0,Cuajimalpa de Morelos,CP 05000,19.3572429,-99.2996246
Casas_iad_inmobiliaria.xlsx,Casa en excelente ubicación en Coyoacán,"Villa Coyoacán, CP 04000, Ciudad de México",22600000.0,3.0,3.0,2.0,289.0,40.0,Coyoacán,"Villa , CP 04000",19.33977,-99.16178
Casas_iad_inmobiliaria.xlsx,"Terreno en venta en Las Aguilas, cerca de Santa Fé","Ampliación Las Águilas, CP 01759, Ciudad de México",9200000.0,4.0,3.0,2.0,734.0,30.0,Álvaro Obregón,"Ampliación , CP 01759",19.3490912,-99.2200317
Casas_iad_inmobiliaria.xlsx,"Venta de Casa con uso de suelo comercial, col. Guerrero, Cuauhtémoc, CDMX","Guerrero, CP 06300, Ciudad de México",9500000.0,3.0,3.0,6.0,420.0,35.0,Cuauhtémoc,CP 06300,19.4442773,-99.1429883
Casas_iad_inmobiliaria.xlsx,Casa en venta en colonia Miguel Hidalgo,"Miguel Hidalgo, CP 14250, Ciudad de México",5700000.0,4.0,3.0,4.0,270.0,37.0,Miguel Hidalgo,CP 14250,19.4071156,-99.1906167
Casas_iad_inmobiliaria.xlsx,VENTA CASA EN CONDOMINIO LOMAS DE LAS AGUILAS,"Lomas de las Águilas, CP 01730, Ciudad de México",11500000.0,4.0,3.0,3.0,454.0,10.0,Álvaro Obregón,"Lomas de , CP 01730",19.3667,-99.2
Casas_iad_inmobiliaria.xlsx,EXCLUSIVA RESIDENCIA A ESTRENAR DE 350 M2 EN EL CORAZÓN DE TLALPAN AGENDA TU CITA...,"Tlalpan, CP 14000, Ciudad de México",16000000.0,4.0,4.0,2.0,350.0,1.0,Tlalpan,CP 14000,19.2880603,-99.1669733
Casas_iad_inmobiliaria.xlsx,CASA EN VENTA EN PASEO DE LA REFORMA LOMAS DE CHAAPULTEPEC,"Lomas de Chapultepec I Sección, CP 11000, Ciudad de México",28632500.0,4.0,3.0,7.0,1000.0,60.0,Miguel Hidalgo,"I Sección, CP 11000",19.345,-99.1794
Casas_iad_inmobiliaria.xlsx,¡DESCUBRE LA ELEGANCIA Y EL CONFORT DE ESTA CASA EN VENTA UBICADA EN JARDINES DEL PEDREGAL!,"Jardines del Pedregal, CP 01900, Ciudad de México",31500000.0,4.0,5.0,9.0,1019.0,40.0,Álvaro Obregón,CP 01900,19.3197812,-99.2073801
Casas_iad_inmobiliaria.xlsx,RESIDENCIA EN VENTA FRACCIONAMIENTO TORRES LINDAVISTA,"Torres Lindavista, CP 07708, Ciudad de México",18000000.0,4.0,5.0,7.0,750.0,30.0,Gustavo A. Madero,"Torres , CP 07708",19.5098825,-99.1458117
Casas_iad_inmobiliaria.xlsx,"Casa en Venta con vigilancia a 15 minutos de Santa Fe, Cuajimalpa, CDMX","Cuajimalpa, CP 05000, Ciudad de México",12800000.0,3.0,3.0,4.0,418.0,10.0,Cuajimalpa de Morelos,CP 05000,19.3572429,-99.2996246
Casas_iad_inmobiliaria.xlsx,CASA ANTIGUA PARA REMODELAR O DEMOLER EN VENTA,"Juárez, CP 06600, Ciudad de México",19500000.0,3.0,3.0,1.0,725.0,70.0,Cuauhtémoc,CP 06600,19.4279483,-99.1588279
Casas_iad_inmobiliaria.xlsx,Casa en venta FAKE Vero ------,"Del Valle Norte, CP 03103, Ciudad de México",4500000.0,2.0,2.0,2.0,243.0,0.0,Benito Juárez,"Norte, CP 03103",19.3719272,-99.2375604
Casas_iad_inmobiliaria.xlsx,"Casa en venta en Campestre Churubusco, Coyoacán","Campestre Churubusco, CP 04200, Ciudad de México",7000000.0,3.0,3.0,3.0,267.0,45.0,Coyoacán,CP 04200,19.346188,-99.1356291
Casas_iad_inmobiliaria.xlsx,INVERSIONISTAS OPORTUNIDAD CASA EN JARDINES DEL PEDREGAL,"Jardines del Pedregal, CP 01900, Ciudad de México",22000000.0,3.0,3.0,5.0,971.0,62.0,Álvaro Obregón,CP 01900,19.3197812,-99.2073801
Casas_iad_inmobiliaria.xlsx,"Casa en Venta en Anzures, Miguel Hidalgo, CDMX","Anzures, CP 11590, Ciudad de México",22300000.0,3.0,3.0,5.0,459.0,30.0,Miguel Hidalgo,CP 11590,19.4320972,-99.1771646
Casas_iad_inmobiliaria.xlsx,"Casa en Venta en Santa Cruz Meyehualco, Iztapalapa, Ciudad de México","Santa Cruz Meyehualco, CP 09290, Ciudad de México",4600000.0,5.0,3.0,1.0,407.0,35.0,Iztapalapa,CP 09290,19.3398179,-99.0396444
Casas_iad_inmobiliaria.xlsx,"CASA EN VENTA COMO TERRENO EN LA COLONIA PORTALES, BENITO JUAREZ, CDMX","Portales Norte, CP 03303, Ciudad de México",5100000.0,2.0,2.0,3.0,135.0,50.0,Benito Juárez,"Norte, CP 03303",19.3487,-99.166
Casas_iad_inmobiliaria.xlsx,Venta de Casa en Residencial Villacoapa,"Residencial Villa Coapa, CP 14390, Ciudad de México",5600000.0,4.0,4.0,1.0,293.0,33.0,Coyoacán,"Residencial , CP 14390",19.4183,-99.1263
Casas_iad_inmobiliaria.xlsx,"Casa en Venta en Haciendas Coyoacán, Coyoacán, México","Haciendas de Coyoacán, CP 04970, Ciudad de México",7000000.0,3.0,4.0,3.0,310.0,40.0,Coyoacán,"Haciendas de , CP 04970",19.3259,-99.1493
Casas_iad_inmobiliaria.xlsx,"Casa en venta, Ixcateopan, Vértiz Narvarte, Benito Juárez, CDMX.","Vértiz Narvarte, CP 03600, Ciudad de México",12235000.0,3.0,3.0,1.0,296.0,0.0,Benito Juárez,"Vértiz , CP 03600",19.3832087,-99.1526457
Casas_iad_inmobiliaria.xlsx,Propiedad DE PRUEBA ----------,"Portales Norte, CP 03303, Ciudad de México",3071000.0,3.0,2.0,2.0,240.0,0.0,Benito Juárez,"Norte, CP 03303",19.3487,-99.166
Casas_iad_inmobiliaria.xlsx,"Casa en venta, Irrigación, Miguel Hidalgo, Ciudad de México","Irrigación, CP 11500, Ciudad de México",17990000.0,5.0,3.0,4.0,450.0,15.0,Miguel Hidalgo,CP 11500,19.4425356,-99.2102915
Casas_iad_inmobiliaria.xlsx,"Casa en venta en Santo Domingo, Coyoacán, CDMX","Pedregal de Santo Domingo, CP 04369, Ciudad de México",3900000.0,4.0,3.0,1.0,195.0,33.0,Coyoacán,CP 04369,19.3271575,-99.1678565
Casas_iad_inmobiliaria.xlsx,"Casa en venta en Jardines del Pedregal, Álvaro Obregón","Jardines del Pedregal, CP 01900, Ciudad de México",21692500.0,3.0,3.0,8.0,1200.0,5.0,Álvaro Obregón,CP 01900,19.3197812,-99.2073801
Casas_iad_inmobiliaria.xlsx,"CASA EN VENTA, en VILLA GUSTAVO A. MADERO","Villa Gustavo A. Madero, CP 07050, Ciudad de México",4950000.0,4.0,4.0,4.0,438.0,34.0,Gustavo A. Madero,"Villa , CP 07050",19.4817648,-99.1190483
Casas_iad_inmobiliaria.xlsx,"Casa en preventa en Col del Carmen, Coyoacán, Cdmx","Del Carmen, CP 04100, Ciudad de México",33525700.0,3.0,3.0,3.0,524.0,0.0,Coyoacán,CP 04100,19.3532702,-99.1731614
Casas_iad_inmobiliaria.xlsx,LINDA  CASA EN VENTA EN EL CARMEN COYOACAN,"Del Carmen, CP 04100, Ciudad de México",19500000.0,4.0,3.0,5.0,517.0,62.0,Coyoacán,CP 04100,19.3532702,-99.1731614
Casas_iad_inmobiliaria.xlsx,CASA EN VENTA EN CIUDAD DE MEXICO COAPA TLALPAN,"Residencial Villa Coapa, CP 14390, Ciudad de México",9000000.0,4.0,4.0,2.0,325.0,38.0,Coyoacán,"Residencial , CP 14390",19.4183,-99.1263
Casas_iad_inmobiliaria.xlsx,"Casa en venta cerca de Santa Fe en Cuajimalpa, Ciudad de México","Lomas de Vista Hermosa, CP 05100, Ciudad de México",9800000.0,3.0,2.0,5.0,450.0,25.0,Cuajimalpa de Morelos,CP 05100,19.3769798,-99.2751709
Casas_iad_inmobiliaria.xlsx,"RESIDENCIA EN VENTA  EN JARDINES DEL PEDREGAL, CDMX","Jardines del Pedregal de San Ángel, CP 04500, Ciudad de México",21692500.0,4.0,3.0,4.0,552.0,0.0,Álvaro Obregón,"Jardines del Pedregal de , CP 04500",19.3067981,-99.1981595
Casas_iad_inmobiliaria.xlsx,"En Venta Casa en Rancho del Carmen, San Bartolo, Álvaro Obregón, Ciudad de México","Rancho del Carmen del Pueblo San Bartolo Ameyalco, CP 01849, Ciudad de México",28000000.0,4.0,5.0,5.0,800.0,3.0,Coyoacán,"Rancho  del Pueblo San Bartolo Ameyalco, CP 01849",19.3381,-99.3019
Casas_iad_inmobiliaria.xlsx,CASA EN PRIVADA CON VIGILANCIA  EN VISTA HERMOSA,"Lomas de Vista Hermosa, CP 05100, Ciudad de México",31500000.0,4.0,3.0,4.0,1000.0,1.0,Cuajimalpa de Morelos,CP 05100,19.3769798,-99.2751709
Casas_iad_inmobiliaria.xlsx,"CASA en PRIVADA, Lomas de Chapultepec","Lomas de Chapultepec, CP 11000, Ciudad de México",15900000.0,3.0,3.0,2.0,352.0,1.0,Miguel Hidalgo,CP 11000,19.4210896,-99.2184637
Casas_iad_inmobiliaria.xlsx,"Residencia en Venta, Farallón, Col. Jardines del Pedregal, Álvaro Obregón","Jardines del Pedregal, CP 01900, Ciudad de México",21692500.0,4.0,3.0,12.0,552.0,1.0,Álvaro Obregón,CP 01900,19.3197812,-99.2073801
Casas_iad_inmobiliaria.xlsx,Casa en venta Niebla Pedregal,"Jardines del Pedregal, CP 01900, Ciudad de México",29550000.0,4.0,4.0,4.0,792.0,1.0,Álvaro Obregón,CP 01900,19.3197812,-99.2073801
Casas_iad_inmobiliaria.xlsx,Casa en venta Chimalistac,"Copilco El Bajo, CP 04340, Ciudad de México",12950000.0,5.0,4.0,2.0,290.0,24.0,Coyoacán,"El Bajo, CP 04340",19.3382302,-99.1880256
Casas_iad_inmobiliaria.xlsx,"CASA EN VENTA EN CORDILLERA DE LOS ANDES, LOMAS DE CHAPULTEPEC","Lomas de Chapultepec, CP 11000, Ciudad de México",17900000.0,3.0,4.0,3.0,265.0,1.0,Miguel Hidalgo,CP 11000,19.4210896,-99.2184637
Casas_iad_inmobiliaria.xlsx,EXCLUSIVAS OFICINAS EN LOMAS DE CHAPULTEPEC PARA HASTA 60 Empleados,"Lomas de Chapultepec, CP 11000, Ciudad de México",60000000.0,3.0,3.0,4.0,800.0,1.0,Miguel Hidalgo,CP 11000,19.4210896,-99.2184637
Casas_iad_inmobiliaria.xlsx,Se VENDE Casa en Ampliación Miguel Hidalgo Tlalpan,"Miguel Hidalgo 3A Sección, CP 14250, Ciudad de México",3100000.0,3.0,3.0,1.0,214.0,1.0,Miguel Hidalgo,"3A Sección, CP 14250",19.4347,-99.2009
Casas_iad_inmobiliaria.xlsx,ESTILO INIGUALABLE en LOMAS de CHAPULTEPEC,"Lomas de Chapultepec, CP 11000, Ciudad de México",28632500.0,4.0,4.0,4.0,1183.0,20.0,Miguel Hidalgo,CP 11000,19.4210896,-99.2184637
Casas_iad_inmobiliaria.xlsx,CASA EN VENTA EN LOMAS DE CHAPULTEPEC,"Lomas de Chapultepec, CP 11000, Ciudad de México",50000000.0,3.0,4.0,6.0,690.0,20.0,Miguel Hidalgo,CP 11000,19.4210896,-99.2184637
