precio_mxn,publicado_reciente,tipo_inmueble,recamaras,banos,m2,ubicacion,colonia,url,latitud,longitud
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-4991290662-casa-en-venta-colonia-lindavista-norte-_JM,,
,False,Otro Inmueble,,,,,,https://inmueble.mercadolibre.com.mx/MLM-4957412058-edificio-en-venta-lindavista-cdmx-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2909232565-se-vende-departamento-en-martin-carrera-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-4578855442-departamento-en-venta-en-joyas-vallejo-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2845705061-departamento-en-venta-49m2-en-2do-piso-col-santiago-atzacoalco-gam-cdmx-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-2720617931-excelente-casa-en-venta-guadalupe-insurgentes-_JM,,
,False,Otro Inmueble,,,,,,https://inmueble.mercadolibre.com.mx/MLM-4443049266-edificio-comercial-av-100-metros-gustavo-a-madero-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5376895950-departamento-en-venta-en-guadaluope-victoria-ll-gustavo-a-madero-se-acepta-infonavit-bancario-y-efectivo-_JM,,
,False,Otro Inmueble,,,,,,https://terreno.mercadolibre.com.mx/MLM-2874371767-terreno-en-venta-uso-mixto-cerca-metrobus-cuitlahuac-_JM,,
,False,Otro Inmueble,,,,,,https://inmueble.mercadolibre.com.mx/MLM-2810019157-bodega-en-venta-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2943511729-departamentos-del-invi-en-la-gustavo-a-madero-cdmx-_JM,,
,False,Otro Inmueble,,,,,,https://inmueble.mercadolibre.com.mx/MLM-5178249454-edificio-en-renta-en-lindavista-gustavo-a-madero-cdmx-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5236047994-bonito-departamento-de-2-recamaras-en-col-san-juan-de-aragon-_JM,,
,False,Otro Inmueble,,,,,,https://inmueble.mercadolibre.com.mx/MLM-2862306345-excelente-edificio-de-oficinas-con-gran-potencial-para-desarrollar-uso-mixto-a-una-calle-de-vallejo-colonia-santa-rosa-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-2937241455-casa-en-venta-en-residencial-acueducto-de-guadalupe-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2933131665-vivienda-de-interes-social-preventa-vallejo-gustavo-a-madero-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2483998391-en-venta-de-hermoso-departamento-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-4833782240-departamento-en-venta-en-gustavo-a-madero-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-2940999661-casa-en-esquina-216-m-con-uso-de-suelo-mixto-y-3-departamentos-en-la-joya-gusta-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-5290375410-casa-para-inversion-cuenta-con-5-departamentos-en-gustavo-a-madero-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-5385337188-hermosa-casa-a-la-venta-en-lindavista-norte-bastante-amplia-comoda-e-iluminada-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-4693932672-casa-en-esquina-ideal-para-negocio-y-vivienda-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-4955454240-casa-de-6-recamaras-en-venta-en-torres-lindavista-a-5-min-de-metro-politecnico-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-4961019566-departamento-a-estrenar-en-colonia-guadalupe-insurgentes-_JM,,
,False,Otro Inmueble,,,,,,https://inmueble.mercadolibre.com.mx/MLM-2613483515-edificio-en-venta-en-gustavo-a-madero-col-estrella-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-4738938096-departamento-en-venta-en-terrazas-lindavista-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2897773395-departamento-en-venta-en-capultitlan-gustavo-a-madero-cdmx-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-2952545245-casa-bonita-recien-remodelada-en-zona-de-lindavista-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-4535016290-casa-en-venta-en-san-juan-de-aragon-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-5357496606-casa-san-juan-de-aragon-gustavo-a-madero-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5366186000-departamento-en-venta-dm-nacional-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5246081432-departamentos-en-ventaentrega-inmediata-vallejo-gam-cdmx-_JM,,
,False,Otro Inmueble,,,,,,https://inmueble.mercadolibre.com.mx/MLM-2237352649-local-comercial-a-media-cuadra-de-av-principal-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-4608642760-casa-en-venta-en-lindavista-norte-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-4754146260-casa-en-venta-en-lindavista-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5194306838-departamento-en-venta-en-martin-carrera-a-calles-de-parque-tepeyac-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2935099989-hermoso-departamento-saliendo-de-metro-potrero-cm-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-2894400845-valle-del-tepeyac-amplia-casa-en-venta-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-4647496996-departamento-en-venta-en-insurgentes-norte-magdalena-de-las-salinas-_JM,,
,False,Otro Inmueble,,,,,,https://inmueble.mercadolibre.com.mx/MLM-2797880485-bodega-comercial-en-esquina-ideal-para-desarrollo-habitacional-o-comercial-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-4972125892-departamento-en-venta-en-lindavista-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-4653873378-departamento-en-venta-en-insurgentes-norte-magdalena-de-las-salinas-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-2938419211-casa-en-venta-valle-del-tepeyac-casa-amplia-separada-en-dos-ideal-para-acondicionar-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-5139312170-vive-con-tranquilidad-en-la-alc-gam-solo-recursos-propios-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2720804853-departamento-en-venta-en-rinconada-san-gabriel-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-2911222437-se-vende-casa-en-san-juan-de-aragon-vi-seccion-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-2416575509-acueducto-de-guadalupe-te-espera-casa-iluminada-con-espacios-perfectos-para-ti-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-5204850300-casa-en-venta-torres-lindavista-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-5153750422-venta-de-casa-en-san-juan-de-aragon-3a-seccion-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-4660104768-casa-en-venta-en-torres-lindavista-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-4794700462-departamento-en-venta-en-constitucion-de-la-republica-_JM,,
,False,Otro Inmueble,,,,,,https://terreno.mercadolibre.com.mx/MLM-2746103329-venta-de-bodega-en-san-felipe-de-jesus-gam-_JM,,
