source,title,location,renta_mensual,rooms,bathrooms,parking_spaces,area,antiguedad,alcaldia,colonia_o_municipio,latitud,longitud,url
mercadolibre_rentas,Departamento en Renta,"Luz Saviñon 900 - 1200, Narvarte Poniente, Ciudad De México, Narvarte Oriente, Benito Juárez, Distrito Federal",32000.0,2,2,1,120.0,30.0,Narvarte Poniente,Luz Saviñon 900 - 1200,19.3907336,-99.1562478,https://departamento.mercadolibre.com.mx/MLM-2950586277-departamento-en-renta-narvarte-con-roof-privado-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=11&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
mercadolibre_rentas,Departamento en Renta,"Industrial San Antonio, Azcapotzalco, Distrito Federal",17900.0,2,2,1,80.0,30.0,Azcapotzalco,Industrial San Antonio,19.47925,-99.1962972,https://departamento.mercadolibre.com.mx/MLM-2939517561-renta-departamento-en-azcapotzalco-espacio-san-isidro--_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=12&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
mercadolibre_rentas,Departamento en Renta,"Los Girasoles Coapa, Coyoacán, Distrito Federal",16000.0,2,1,1,66.0,30.0,Coyoacán,Los Girasoles Coapa,19.3043066,-99.1200004,https://departamento.mercadolibre.com.mx/MLM-5369660868-se-renta-departamento-en-los-girasoles-coapa-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=13&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
mercadolibre_rentas,Departamento en Renta,"San Pedro De Los Pinos, Benito Juárez, Distrito Federal",20900.0,2,2,1,65.0,30.0,Benito Juárez,San Pedro De Los Pinos,19.3915073,-99.1855297,https://departamento.mercadolibre.com.mx/MLM-5362817374-renta-departamento-amueblado-y-equipado-en-excelente-ubicacion-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=14&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
mercadolibre_rentas,Departamento en Renta,"Buenavista, Cuauhtémoc, Distrito Federal",15000.0,2,1,1,51.0,30.0,Cuauhtémoc,Buenavista,19.4462672,-99.1526509,https://departamento.mercadolibre.com.mx/MLM-5384786408-renta-nuevo-departamento-51m2-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=15&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
mercadolibre_rentas,Departamento en Renta,"Polanco, Miguel Hidalgo, Distrito Federal",31000.0,1,1,1,64.0,30.0,Miguel Hidalgo,Polanco,19.43353,-99.190915,https://departamento.mercadolibre.com.mx/MLM-5362817474-renta-departamento-amueblado-en-latitud-polanco-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=16&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
mercadolibre_rentas,Departamento en Renta,"Cerro Del Mercado 74, Campestre Churubusco, Coyoacán, Distrito Federal",17900.0,1,1,1,75.0,30.0,Campestre Churubusco,Cerro Del Mercado 74,19.3448515,-99.1323717,https://departamento.mercadolibre.com.mx/MLM-2940791959-departamento-en-renta-en-campestre-churubusco-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=17&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
mercadolibre_rentas,Departamento en Renta,"Xoco, Benito Juárez, Distrito Federal",70000.0,3,3,2,190.0,30.0,Benito Juárez,Xoco,19.3601941,-99.1668669,https://departamento.mercadolibre.com.mx/MLM-5362817508-renta-departamento-mitikah-torre-residencial-xoco-benito-juarez-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=18&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
mercadolibre_rentas,Departamento en Renta,"Ampliación Granada, Miguel Hidalgo, Distrito Federal",16700.0,1,1,1,40.0,30.0,Miguel Hidalgo,Ampliación Granada,19.442902,-99.2014215,https://departamento.mercadolibre.com.mx/MLM-2939378899-renta-departamento-amueblado-opcional-toreo-5min-carso-ampliacion-granada-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=19&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
mercadolibre_rentas,Departamento en Renta,"Xoco, Benito Juárez, Distrito Federal",28900.0,1,1,1,68.0,30.0,Benito Juárez,Xoco,19.3601941,-99.1668669,https://departamento.mercadolibre.com.mx/MLM-2939517637-renta-exclusivo-departamento-tipo-loft-en-mitikah-torre-residencial-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=20&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
