tipo_inmueble,titulo,precio_mxn,recamaras,banos,m2,colonia,ubicacion,publicado_reciente,url
Casa,,7800000,5,4,368,Prolongación De Turquesa 33,"Prolongación De Turquesa 33, Estrella, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2797445597-casa-en-venta-al-norte-de-la-ciudad-_JM
Departamento,,2140000,3,1,75,Moctezuma,"Moctezuma, Aragón La Villa, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2811109471-departamento-en-venta-en-aragon-la-villa-gustavo-a-madero-cdmx-_JM
Casa,,6100000,4,2,223,Norte 17,"Norte 17, Nueva Vallejo, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2855872541-casa-en-venta-en-residencial-vallejo-gustavo-a-madero-cdmx-_JM
Edificio,,8000000,,,476,Ampliación Casas Alemán,"Ampliación Casas Alemán, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-5228703658-edificio-476m2c-3-locales-col-casas-aleman-_JM
Casa,,6500000,8,4,340,Brasilia,"Brasilia, San Pedro Zacatenco, Gustavo A. Madero, Distrito Federal",True,https://casa.mercadolibre.com.mx/MLM-5378484792-casa-en-venta-en-san-pedro-zacatenco-_JM
Casa,Venta Casas La Purisima Ticoman T-df0213-0060,4000000,3,2,150,CALLE 40,"CALLE 40, La Purísima Ticoman, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-5166616220-venta-casas-la-purisima-ticoman-t-df0213-0060-_JM
Departamento,,4847268,2,2,102,San Juan De Aragón I Sección,"San Juan De Aragón I Sección, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2800604265-departamento-en-preventa-en-rio-consulado-san-juan-de-aragon-gustavo-a-madero-_JM
Casa,Venta Casas Lindavista Norte T-df0085-0617,10200000,6,2,300,COQUIMBO,"COQUIMBO, Lindavista Norte, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-5291503868-venta-casas-lindavista-norte-t-df0085-0617-_JM
Casa,Bonita Casa En San Jeronimo - Ham-793-cs*,6000000,3,3,385,La Malinche,"La Malinche, 10010 Ciudad De México, CDMX, México, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-5204823770-bonita-casa-en-san-jeronimo-ham-793-cs-_JM
Casa,Venta Casas San Juan De Aragon Ii Seccion T-df0227-0042,5800000,4,3,250,NTE. 172,"NTE. 172, San Juan De Aragón II Sección, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2831258317-venta-casas-san-juan-de-aragon-ii-seccion-t-df0227-0042-_JM
Departamento,,3650000,3,2,94,La Escalera,"La Escalera, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2834069059-departamento-en-venta-la-escalera-gustavo-a-madero-_JM
Departamento,Activo De Inversión En Ubicación Prime: 5 Departamentos + Local Comercial Con Us,10290000,8,5,419,Tepeyac Insurgentes,"Tepeyac Insurgentes, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2913629569-activo-de-inversion-en-ubicacion-prime-5-departamentos-local-comercial-con-us-_JM
Edificio,,8950000,,7,322,Granate,"Granate, Estrella, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-2760801437-edificio-en-venta-en-estrella-gam-gustavo-a-madero-_JM
Departamento,,2550000,2,1,55,Calzada San Juan De Aragón 439,"Calzada San Juan De Aragón 439, Rinconada Don Blas Edificio B, DM Nacional, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-5022787828-departamento-en-venta-en-dm-nacional-san-juan-de-aragon-gran-canal-_JM
Departamento,,1465000,2,1,51,Calzada Chalma La Villa 50,"Calzada Chalma La Villa 50, Zona Escolar Oriente, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2901718117-departamento-en-venta-el-arbolillo-croc-gustavo-a-madero-_JM
Casa,,3150000,3,1,108,Cuautepec Barrio Alto,"Cuautepec Barrio Alto, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2911214331-casa-en-venta-en-cuautepec-barrio-alto-gustavo-a-madero-_JM
Departamento,"Joyas Vallejo, Metrobús Tenayuca",1748000,2,1,55,Santa Rosa,"Santa Rosa, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2720563635-joyas-vallejo-metrobus-tenayuca-_JM
Casa,,17950000,3,3,407,Pernambuco,"Pernambuco, Lindavista Sur, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-5339274476-casa-en-venta-en-lindavista-660968-_JM
