titulo,precio,ubicacion,recamaras,banos,m2,url,datos_brutos
,"MXN6,250,000",,,,,https://casa.mercadolibre.com.mx/MLM-5057996874-casa-en-venta-en-san-pedro-chico-gustavo-a-madero-cdmx-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=10&type=item&tracking_id=e09b1b4b-4e1a-41ab-8bb9-c20d1ec0bdd7&price_drop=not_apply,"Casa en venta | Casa En Venta En San Pedro Chico, Gustavo A. Madero, Cdmx | MXN | 6,250,000 | 6 recámaras | 4 baños | 322 m² construidos | Norte 84, San Pedro El Chico, Gustavo A. Madero, Distrito Federal"
,"MXN5,800,000",,,,,https://casa.mercadolibre.com.mx/MLM-2785716767-venta-casas-vallejo-t-df0236-0039-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=11&type=item&tracking_id=e09b1b4b-4e1a-41ab-8bb9-c20d1ec0bdd7&price_drop=not_apply,"Casa en venta | Venta Casas Vallejo T-df0236-0039 | MXN | 5,800,000 | 3 recámaras | 3 baños | 250 m² construidos | C. GOUNOD, Vallejo, Gustavo A. Madero, Distrito Federal"
,"MXN13,900,000",,,,,https://casa.mercadolibre.com.mx/MLM-5058188126-casa-en-venta-en-lindavista-gustavo-a-madero-cdmx-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=12&type=item&tracking_id=e09b1b4b-4e1a-41ab-8bb9-c20d1ec0bdd7&price_drop=not_apply,"Casa en venta | Casa En Venta En Lindavista, Gustavo A. Madero, Cdmx | MXN | 13,900,000 | 3 recámaras | 3 baños | 575 m² construidos | Cienfuegos, Lindavista, Gustavo A. Madero, Distrito Federal"
,"MXN4,900,000",,,,,https://departamento.mercadolibre.com.mx/MLM-5030570096-departamento-en-venta-colonia-guadalupe-tepeyac-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=13&type=item&tracking_id=e09b1b4b-4e1a-41ab-8bb9-c20d1ec0bdd7&price_drop=not_apply,"Departamento en venta | Departamento En Venta Colonia Guadalupe Tepeyac | MXN | 4,900,000 | 3 recámaras | 2 baños | 119 m² construidos | Otilia, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal"
,"MXN6,600,000",,,,,https://casa.mercadolibre.com.mx/MLM-5389439248-casa-en-venta-en-colonia-la-joya-gustavo-a-madero-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=14&type=item&tracking_id=e09b1b4b-4e1a-41ab-8bb9-c20d1ec0bdd7,"PUBLICADO ESTA SEMANA | Casa en venta | Casa En Venta En Colonia La Joya, Gustavo A Madero | MXN | 6,600,000 | 5 recámaras | 4 baños | 400 m² construidos | Calle Nte. 74, La Joya, Ciudad De México, La Joya, Gustavo A. Madero, Distrito Federal"
,"MXN2,300,000",,,,,https://departamento.mercadolibre.com.mx/MLM-2782334415-departamento-en-martin-carrera-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=15&type=item&tracking_id=e09b1b4b-4e1a-41ab-8bb9-c20d1ec0bdd7&price_drop=not_apply,"Departamento en venta | Departamento En Martín Carrera | MXN | 2,300,000 | 2 recámaras | 2 baños | 60 m² construidos | Departamentos Y Estudios En Preventa En Atmósfera Martín Carrera: Av. Martín Carrera #130, Martín Carrera, Gustavo A. Madero, Cdmx, México Al 100, Martín Carrera, Gustavo A. Madero, Distrito Federal"
,"MXN5,490,000",,,,,https://casa.mercadolibre.com.mx/MLM-5262373686-casa-en-venta-cerca-de-ave-100-metros-cod-zv1396-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=16&type=item&tracking_id=e09b1b4b-4e1a-41ab-8bb9-c20d1ec0bdd7&price_drop=not_apply,"Casa en venta | Casa En Venta, Cerca De Ave. 100 Metros Cod. Zv1396 | MXN | 5,490,000 | 3 recámaras | 1 baño | 203 m² construidos | Valle Del Tepeyac, Gustavo A. Madero, Distrito Federal"
,"MXN17,790,000",,,,,https://casa.mercadolibre.com.mx/MLM-4701169214-casa-en-venta-en-colonia-vallejo-gustavo-a-madero-ciudad-de-mexico-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=17&type=item&tracking_id=e09b1b4b-4e1a-41ab-8bb9-c20d1ec0bdd7&price_drop=not_apply,"Casa en venta | Casa En Venta En Colonia Vallejo, Gustavo A. Madero, Ciudad De México | MXN | 17,790,000 | 3 recámaras | 4 baños | 1,005 m² construidos | Insurgentes Norte 1099, Vallejo, Gustavo A. Madero, Distrito Federal"
,"MXN3,700,000",,,,,https://casa.mercadolibre.com.mx/MLM-2740243075-venta-casas-san-juan-de-aragon-i-seccion-t-df0237-0013-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=18&type=item&tracking_id=e09b1b4b-4e1a-41ab-8bb9-c20d1ec0bdd7&price_drop=not_apply,"Casa en venta | Venta Casas San Juan De Aragon I Seccion T-df0237-0013 | MXN | 3,700,000 | 6 recámaras | 3 baños | 200 m² construidos | NTE 78-A, San Juan De Aragón I Sección, Gustavo A. Madero, Distrito Federal"
,"MXN19,000,000",,,,,https://inmueble.mercadolibre.com.mx/MLM-4255604128-edificio-venta-gustavo-a-madero-santa-rosa-calle-14-a-cev539986-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=19&type=item&tracking_id=e09b1b4b-4e1a-41ab-8bb9-c20d1ec0bdd7&price_drop=not_apply,"Edificio en venta | Edificio Venta Gustavo A. Madero, Santa Rosa, Calle 14-a,  Cev539986 | MXN | 19,000,000 | 1,200 m² construidos | Santa Rosa, Gustavo A. Madero, Distrito Federal"
