SKU,Titulo,Renta_MXN,Area_m2,Recamaras,Banos,Estacionamientos,Ubicacion,Alcaldia,Pagina_Origen,URL
69d3e90bc25b1a003ab05f01,"Departamento en Renta en Santa Fe, Las Tinajas Cuajimalpa, CDMX",27500,80,2,2,0,"Lomas de san pedro 3a. cerrada de prolongación juárez, Las tinajas",Las Tinajas Cuajimalpa,7,https://homie.mx/pub/69d3e90bc25b1a003ab05f01
69992daed35b8fe221bde02f,Departamento amueblado de 1 recámara en Vitant Polanco,28600,64,1,1,0,"Lago alberto, Anáhuac i sección",Departamento amueblado de 1 recámara en Vitant Polanco,7,https://homie.mx/pub/69992daed35b8fe221bde02f
681d326fcb1440003b1bb4a3,Studio con balcon en Reforma con amenidades.,29730,74,1,1,0,"Avenida paseo de la reforma, Juárez",Studio con balcon en Reforma con amenidades.,7,https://homie.mx/pub/681d326fcb1440003b1bb4a3
693d8e0eefbf0c003bafbf0a,Departamento de 1 recamara en renta - Edificio Ines en Polanco,29930,47,1,1,0,"Lago andromaco, Granada",Departamento de 1 recamara en renta - Edificio Ines en Polanco,7,https://homie.mx/pub/693d8e0eefbf0c003bafbf0a
60ff5e30bde5390044244be3,"Departamento en Renta en Col. Roma Norte, Cuauhtémoc, CDMX",30000,68,2,2,0,"Calle querétaro, Roma norte",Cuauhtémoc,7,https://homie.mx/pub/60ff5e30bde5390044244be3
6792a5001f4bb6003b5cca99,"Depa 2 recámaras y 2 baños en edificio con amenidades increíbles. Zona Toreo, Miguel Hidalgo",30650,59,2,2,0,"Avenida ingenieros militares, Lomas de sotelo",Miguel Hidalgo,7,https://homie.mx/pub/6792a5001f4bb6003b5cca99
681bf71ecb1440003b1baec5,Departamento de una recamara en renta en edificio Amalia,31130,55,1,1,0,"Avenida insurgentes sur, Nápoles",Departamento de una recamara en renta en edificio Amalia,7,https://homie.mx/pub/681bf71ecb1440003b1baec5
685ed9a1181157003af0f3d9,"Studio Alcoba en renta con balcón, en Reforma, a unos pasos del Ángel",31230,51,1,1,0,"Avenida paseo de la reforma, Juárez",a unos pasos del Ángel,8,https://homie.mx/pub/685ed9a1181157003af0f3d9
6939d3a5cb81f8003b4ccd37,"Departamento Amalia con 1 recamara, amenidades de lujo en Insurgentes Sur – Servicios incluidos",31330,54,1,1,0,"Avenida insurgentes sur, Napoles",amenidades de lujo en Insurgentes Sur – Servicios incluidos,8,https://homie.mx/pub/6939d3a5cb81f8003b4ccd37
6822311e697466003bd01ce8,"Departamento en renta One Stunning en Roma Sur, CDMX",32930,64,1,1,0,"Avenida insurgentes sur, Roma sur",Departamento en renta One Stunning en Roma Sur,8,https://homie.mx/pub/6822311e697466003bd01ce8
6792955706948c003ae47ec4,"Departamento de dos recámaras en Renta - Calle Bucareli, Colonia Juárez",35586,68,2,2,0,"Bucareli, Juárez",Colonia Juárez,8,https://homie.mx/pub/6792955706948c003ae47ec4
681d2d2d6496c3003ac25044,Studio Plus y balcón en Reforma con amenidades premium,37430,55,1,1,0,"Avenida paseo de la reforma, Juárez",Studio Plus y balcón en Reforma con amenidades premium,8,https://homie.mx/pub/681d2d2d6496c3003ac25044
693c77ffcb81f8003b4cdd34,Departamento de 1 recamara y 1 Studio - Edificio Ines en Polanco.,38030,54,2,1,0,"Lago andromaco, Granada",Departamento de 1 recamara y 1 Studio - Edificio Ines en Polanco.,8,https://homie.mx/pub/693c77ffcb81f8003b4cdd34
5e4f1552fa6afe11cdce3de4,"Departamento en renta - Hipódromo Condesa, Cuauhtémoc",42800,300,3,3,0,"General benjamín hill, Hipódromo",Cuauhtémoc,8,https://homie.mx/pub/5e4f1552fa6afe11cdce3de4
69c5a84c14c0e1003a85e3bf,"Departamento en Renta en Polanco, Miguel Hidalgo, CDMX",45000,150,3,2,0,"Calle sócrates, Polanco ii sección",Miguel Hidalgo,8,https://homie.mx/pub/69c5a84c14c0e1003a85e3bf
693dac9fefbf0c003bafbfe1,"PH ""The Spectacular"" de 1 recamara con balcon en Edificio Ines , Polanco.",47420,71,1,1,0,"Lago andromaco, Granada",Polanco.,8,https://homie.mx/pub/693dac9fefbf0c003bafbfe1
62b253a1d96bf0004151a8bd,"Departamento en Renta en Lomas de Tecamachalco, EdoMex",55000,197,3,4,0,"Avenida de los bosques, Lomas de tecamachalco",EdoMex,8,https://homie.mx/pub/62b253a1d96bf0004151a8bd
69da98a1f54159003c1daf54,"Casa en renta Tetelpan, Ciudad de México",55000,338,4,5,0,"Encino grande, Tetelpan",Casa en renta Tetelpan,9,https://homie.mx/pub/69da98a1f54159003c1daf54
681d2b187b5b82003b5c491a,Departamento de 1 recámara y balcón en renta en Reforma con amenidades de lujo.,55530,74,1,1,0,"Avenida paseo de la reforma, Juárez",Departamento de 1 recámara y balcón en renta en Reforma con amenidades de lujo.,9,https://homie.mx/pub/681d2b187b5b82003b5c491a
