SKU,Titulo,Renta_MXN,Area_m2,Recamaras,Banos,Estacionamientos,Ubicacion,Alcaldia,Pagina_Origen,URL
41032-73-2afb08b891e5-e76a-19e1f38-8f0b-72cb,Departamento en Renta en Lomas de Chapultepec,10500,520,3,4,2,"Lomas de Chapultepec, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,1,https://www.lamudi.com.mx/detalle/41032-73-2afb08b891e5-e76a-19e1f38-8f0b-72cb
41032-73-f3ed0804e34-b6a4-19de153-8a11-7f43,Departamento en Renta en Cuauhtémoc,195000,271,2,2,3,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",Cuauhtémoc,1,https://www.lamudi.com.mx/detalle/41032-73-f3ed0804e34-b6a4-19de153-8a11-7f43
41032-73-34b9cb950b7c-71e1-19e410e-9bdc-749a,Departamento en Renta en El Caracol,33000,0,2,2,1,"El Caracol, Coyoacán, Ciudad de México",Coyoacán,1,https://www.lamudi.com.mx/detalle/41032-73-34b9cb950b7c-71e1-19e410e-9bdc-749a
41032-73-48fabf958b60-8ad8-19cc4d9-b9d9-7297,Departamento en Renta en Centro,22900,53,1,1,0,"Centro, Cuauhtémoc, Ciudad de México",Cuauhtémoc,1,https://www.lamudi.com.mx/detalle/41032-73-48fabf958b60-8ad8-19cc4d9-b9d9-7297
41032-73-e1b39c8a8496-5a01-19aa76e-9299-7644,Departamento en Renta en Lomas de Reforma,33000,110,2,1,2,"Lomas de Reforma, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,1,https://www.lamudi.com.mx/detalle/41032-73-e1b39c8a8496-5a01-19aa76e-9299-7644
41032-73-981255c5268-4ee4-1966acc-8199-740a,Departamento en Renta en San Jerónimo Aculco,27000,53,1,1,1,"San Jerónimo Aculco, La Magdalena Contreras, Ciudad de México",La Magdalena Contreras,1,https://www.lamudi.com.mx/detalle/41032-73-981255c5268-4ee4-1966acc-8199-740a
41032-73-bc89a540af63-bc5a-19dd00b-ba01-7229,Departamento en Renta en Hipódromo,32000,90,2,2,1,"Hipódromo, Cuauhtémoc, Ciudad de México",Cuauhtémoc,1,https://www.lamudi.com.mx/detalle/41032-73-bc89a540af63-bc5a-19dd00b-ba01-7229
41032-73-3c156a7cc100-f16a-19d93a0-af53-7e9a,Departamento en Renta en Polanco,100000,300,3,3,2,"Polanco, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,1,https://www.lamudi.com.mx/detalle/41032-73-3c156a7cc100-f16a-19d93a0-af53-7e9a
41032-73-4cf8a4a45e5e-4834-19d7558-9516-7050,Departamento en Renta en Actipan,26000,99,2,3,1,"Actipan, Benito Juárez, Ciudad de México",Benito Juárez,2,https://www.lamudi.com.mx/detalle/41032-73-4cf8a4a45e5e-4834-19d7558-9516-7050
41032-73-c2b710f803c3-6370-19b9661-b5a6-7eeb,Departamento en Renta en El Yaqui,35000,85,2,2,2,"El Yaqui, Cuajimalpa de Morelos, Ciudad de México",Cuajimalpa de Morelos,2,https://www.lamudi.com.mx/detalle/41032-73-c2b710f803c3-6370-19b9661-b5a6-7eeb
41032-73-3e797980f7b7-2fa2-19c2670-9c0c-7eda,Departamento en Renta en Bosques de las Lomas,25000,39,1,1,1,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",Cuajimalpa de Morelos,2,https://www.lamudi.com.mx/detalle/41032-73-3e797980f7b7-2fa2-19c2670-9c0c-7eda
