latitud,longitud,alcaldia,price,price_m2_raw,area,rooms,bathrooms,is_luxury,tipologia,cuadrante_soc,gentrification_index,marginalidad_score,seg_transit,accesibilidad_transit
19.3569982,-99.1871169,Álvaro Obregón,40000.0,224.7191011235955,178.0,2,3.0,0,Amplio_Ejecutivo,BajaMarg_BajaGentrif,0.0,1.0,Media_Accesibilidad,641.9973287075397
19.3530225,-99.2767967,Contadero,36000.0,439.0243902439024,82.0,1,1.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.830531038273375,1.0,Baja_Accesibilidad,9234.28874557487
19.3631581,-99.2779741,El Yaqui,42100.0,400.95238095238096,105.0,2,2.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.830531038273375,1.0,Baja_Accesibilidad,9292.950761354577
19.4311522,-99.1999771,Polanco,4500.0,26.470588235294116,170.0,2,2.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.830531038273375,1.0,Media_Accesibilidad,1008.4899072789786
19.363799,-99.2802289,Cuajimalpa de Morelos,15000.0,154.63917525773195,97.0,1,1.0,0,Familiar_Chico,BajaMarg_BajaGentrif,0.49427437331671703,1.0,Baja_Accesibilidad,9504.265909048774
19.3618242,-99.2880186,Cuajimalpa de Morelos,17000.0,175.2577319587629,97.0,1,1.0,0,Familiar_Chico,AltaMarg_BajaGentrif,0.49427437331671703,3.0,Baja_Accesibilidad,10312.915849061117
19.4326,-99.1332,Moctezuma 2Da Secc,14000.0,291.6666666666667,48.0,2,1.0,0,Studio/Micro,AltaMarg_AltaGentrif,0.830531038273375,3.0,Alta_Accesibilidad,330.46776435848415
19.3905208,-99.1579016,Benito Juárez,33900.0,505.97014925373134,67.0,2,2.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.933319961735651,3.0,Alta_Accesibilidad,537.3083925162549
19.4666602,-99.1569296,Azcapotzalco,22500.0,308.2191780821918,73.0,3,2.0,0,Familiar_Grande,AltaMarg_BajaGentrif,0.7799341145447056,2.0,Media_Accesibilidad,1479.941822259632
19.4402557,-99.1926322,Miguel Hidalgo,70000.0,416.6666666666667,168.0,3,3.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.8585849060226639,1.0,Media_Accesibilidad,926.8825185861144
19.4326,-99.1332,Polanco Iii Secc,53200.0,506.6666666666667,105.0,2,2.0,0,Amplio_Ejecutivo,AltaMarg_AltaGentrif,0.830531038273375,3.0,Alta_Accesibilidad,330.46776435848415
19.43353,-99.190915,Miguel Hidalgo,99000.0,471.42857142857144,210.0,3,3.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.8585849060226639,1.0,Alta_Accesibilidad,444.2627964713553
19.4402557,-99.1926322,Miguel Hidalgo,5900.0,32.77777777777778,180.0,3,3.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.8585849060226639,1.0,Media_Accesibilidad,926.8825185861144
19.3560226,-99.1981252,Los Alpes,45500.0,303.3333333333333,150.0,2,2.0,0,Amplio_Ejecutivo,AltaMarg_AltaGentrif,0.830531038273375,2.0,Media_Accesibilidad,1387.6573465456804
19.3610393,-99.2612571,Álvaro Obregón,35000.0,225.80645161290323,155.0,2,2.0,0,Amplio_Ejecutivo,BajaMarg_BajaGentrif,0.0,1.0,Baja_Accesibilidad,7697.6116628461195
19.401204,-99.1752046,Miguel Hidalgo,45000.0,463.91752577319585,97.0,1,1.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.8585849060226639,3.0,Media_Accesibilidad,797.908445625815
19.44286,-99.1493947,Buenavista,19500.0,390.0,50.0,2,1.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,2.0,Alta_Accesibilidad,424.7339621936914
19.43353,-99.190915,Miguel Hidalgo,105000.0,300.0,350.0,3,3.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.8585849060226639,1.0,Alta_Accesibilidad,444.2627964713553
19.4686716,-99.1562869,Col Del Gas,17000.0,320.75471698113205,53.0,2,1.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,3.0,Media_Accesibilidad,1352.4313124171085
19.4025902,-99.1559072,Mexico City,30000.0,240.0,125.0,3,2.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.830531038273375,1.0,Alta_Accesibilidad,497.3348020436638
