longitud,latitud,alcaldia,price,price_m2_raw,area,rooms,bathrooms,target_enc_colonia,ratio_precio_vecinal,gentrification_index,precio_predicho,error_pct
-99.1713523,19.3820125,Tlacoquemécatl Del Valle,30000.0,333.3333333333333,90.0,2,1.0,5.939164996706758,1.00965929049115,0.5,28652.991519330288,-4.490028268899041
-99.1332,19.4326,Lomas De Chapultepec Ii Sección,60000.0,196.72131147540983,305.0,3,2.0,5.401785410795304,0.6593970333984679,0.5,45655.95187487601,-23.906746875206654
-99.2841662,19.3608547,Ampliación El Yaqui,31500.0,384.1463414634146,82.0,2,2.0,6.548282874537503,1.2228938767107673,0.5,30176.897277817465,-4.200326102166779
-99.1515438,19.4312045,Cuauhtémoc,20100.0,528.9473684210526,38.0,1,1.0,5.349502053335774,0.9969337009186947,0.830531038273375,43148.67889815375,114.67004426942162
-99.2203152,19.3209587,San Jerónimo Aculco,3500.0,33.333333333333336,105.0,3,2.0,5.33849947510955,0.15319016187603282,0.5,30822.620842123193,780.6463097749483
-99.1751022,19.4315509,Anzures,43000.0,438.7755102040816,98.0,3,2.0,5.344475451679906,1.1260064027403829,0.5,23619.626105674222,-45.070636963548324
-99.1636016,19.386924,Benito Juárez,30000.0,333.3333333333333,90.0,2,2.0,5.79618851028645,1.0708676591077932,0.933319961735651,24027.96326814319,-19.906789106189365
-99.1555027,19.3805937,Vértiz Narvarte,26000.0,273.6842105263158,95.0,2,2.0,5.388993383279223,1.0056125358554155,0.5,49870.68701441127,91.81033467081258
-99.1789079,19.4066741,Hipódromo Condesa,36000.0,200.0,180.0,4,2.0,5.332561452036692,0.4566640857644533,0.5,16521.88687091211,-54.105869803021925
-99.1624218,19.4379452,Cuauhtémoc,19400.0,510.5263157894737,38.0,1,1.0,6.1875880578259315,1.149907880086481,0.830531038273375,33265.88221171812,71.47361964803154
-99.1332,19.4326,Roma Nte.,23000.0,383.3333333333333,60.0,1,1.0,5.376740882716195,1.284908385913959,0.5,77778.54124620018,238.16757063565296
-99.1331785,19.4326296,Cuauhtémoc,30700.0,458.2089552238806,67.0,2,2.0,5.346734395456335,1.1159004770302636,0.830531038273375,48864.42237528346,59.16749959375719
-99.1628933,19.3919332,Narvarte Poniente,28000.0,294.7368421052632,95.0,2,2.0,5.389164637838284,1.0241188395223915,0.5,10266.827526340072,-63.33275883449975
-99.1331785,19.4326296,Cuauhtémoc,30000.0,333.3333333333333,90.0,2,2.0,5.3617143327489565,0.811784277535588,0.830531038273375,54932.14073405072,83.10713578016907
-99.2005443,19.4330639,Miguel Hidalgo,100000.0,606.060606060606,165.0,2,2.0,5.35252962043461,1.0730835817393416,0.8585849060226639,70442.63246618197,-29.557367533818034
-99.1651365,19.4030932,Roma Sur,17500.0,875.0,20.0,1,1.0,5.370137864346449,2.1629276257813603,0.5,23163.643702597372,32.36367830055641
-99.1624218,19.4379452,Cuauhtémoc,19200.0,505.2631578947368,38.0,1,1.0,6.12731605842293,1.1380531596732184,0.830531038273375,21110.266952759954,9.949307045624758
-99.157701,19.3718796,Benito Juárez,32000.0,237.03703703703704,135.0,3,2.0,5.384296231988424,0.7260757942558732,0.933319961735651,27760.38030719981,-13.248811540000588
-99.1899364,19.3656187,Benito Juárez,20000.0,327.8688524590164,61.0,2,1.0,5.548105736305483,1.0951210370190023,0.933319961735651,37171.17277125874,85.8558638562937
