entidad,nom_mun,nom_loc,longitud,latitud,pobtot,p18ym_pb,vph_inter,vph_pc,vph_autom,vph_telef,vph_lavad,vph_snbien,graproes,pea,prom_ocup,pder_ss,pct_internet,pct_educ_sup
9,Tláhuac,Tezontenco,-99.02290138888888,19.310258611111113,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tláhuac,Las Calabacitas,-99.037655,19.314040277777778,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tláhuac,Apoyautla (Cerro de Guadalupe),-99.00608833333334,19.3010475,263,61.0,35.0,19.0,28.0,3.0,43.0,0.0,9.1,122.0,3.6,124.0,13.307984790874524,23.193916349809886
9,Tláhuac,Las Nieves (Almoloya),-98.96435833333334,19.214546666666667,124,28.0,18.0,11.0,12.0,12.0,25.0,0.0,9.32,67.0,3.44,74.0,14.516129032258066,22.58064516129032
9,Tláhuac,La Cruz,-99.017815,19.234229444444445,31,7.0,2.0,2.0,4.0,1.0,4.0,0.0,9.14,16.0,3.88,21.0,6.451612903225806,22.58064516129032
9,Tláhuac,Mixtlaplan,-99.01426833333333,19.308285,90,18.0,15.0,5.0,7.0,0.0,13.0,0.0,8.49,48.0,4.5,52.0,16.666666666666664,20.0
9,Tláhuac,El Llano,-98.97677111111112,19.22387611111111,70,13.0,9.0,8.0,9.0,3.0,15.0,0.0,9.64,39.0,3.5,52.0,12.857142857142856,18.571428571428573
9,Tlalpan,Tlalpan,-99.16712611111112,19.288275000000002,599935,309959.0,138594.0,111936.0,99294.0,125640.0,149982.0,342.0,11.82,331387.0,3.38,431660.0,23.10150266278847,51.66543042162901
9,Tlalpan,Parres (El Guarda),-99.17505805555557,19.13620222222222,3197,759.0,338.0,201.0,314.0,319.0,612.0,4.0,8.9,1563.0,3.97,2421.0,10.572411635908665,23.741007194244602
9,Tlalpan,San Miguel Ajusco,-99.20396722222222,19.217969444444442,37282,11648.0,5788.0,3670.0,4131.0,4990.0,7093.0,32.0,9.71,20258.0,3.77,23929.0,15.524918191084168,31.24295906871949
9,Tlalpan,San Miguel Topilejo,-99.14139833333334,19.20135861111111,41087,11973.0,5376.0,3449.0,3774.0,5208.0,7205.0,54.0,9.43,22078.0,3.97,27769.0,13.084430598486138,29.140604084016843
9,Tlalpan,Apapaxtles,-99.2280125,19.20801833333333,67,26.0,10.0,6.0,16.0,7.0,11.0,0.0,10.67,29.0,3.72,48.0,14.925373134328357,38.80597014925373
9,Tlalpan,Paraje Cercatenco,-99.22266277777778,19.2042475,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,Cañada del Acueducto,-99.20924222222223,19.204818055555556,161,27.0,15.0,11.0,17.0,7.0,27.0,1.0,7.89,88.0,3.83,91.0,9.316770186335404,16.77018633540373
9,Tlalpan,Cuamino,-99.2328088888889,19.20838111111111,11,9.0,2.0,2.0,2.0,3.0,2.0,0.0,15.36,7.0,3.67,4.0,18.181818181818183,81.81818181818183
9,Tlalpan,La Cima,-99.19554472222222,19.114838333333335,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,Xacatixtla (Granja la Garriga),-99.17048694444445,19.19693277777778,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,Héroes de 1910,-99.2345825,19.24702277777778,571,217.0,72.0,76.0,113.0,48.0,119.0,0.0,10.46,334.0,3.28,394.0,12.609457092819614,38.003502626970224
9,Tlalpan,Las Raíces,-99.15840666666668,19.169296666666668,25,3.0,2.0,2.0,4.0,1.0,2.0,0.0,6.42,11.0,4.17,12.0,8.0,12.0
9,Tlalpan,Kilómetro 38,-99.16854916666666,19.141771388888888,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,Kilómetro 36.5 (El Crucero),-99.16294305555556,19.154525,69,17.0,9.0,6.0,5.0,5.0,13.0,0.0,9.29,31.0,3.83,44.0,13.043478260869565,24.637681159420293
9,Tlalpan,Las Maravillas (Kilómetro 37),-99.16565861111111,19.148554166666667,45,12.0,2.0,6.0,11.0,0.0,11.0,0.0,9.82,24.0,3.46,25.0,4.444444444444445,26.666666666666668
9,Tlalpan,Kilómetro 33.5,-99.16074027777778,19.178706944444446,7,4.0,1.0,1.0,1.0,1.0,1.0,0.0,10.29,3.0,2.33,3.0,14.285714285714285,57.14285714285714
9,Tlalpan,Lomas de Tepemecatl,-99.24048777777777,19.238221111111113,4058,886.0,307.0,227.0,461.0,14.0,651.0,4.0,8.88,2249.0,3.94,2856.0,7.565303104977822,21.833415475603747
9,Tlalpan,El Oyamel,-99.21491055555556,19.204519166666667,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,Piedra Larga,-99.13770361111112,19.190491944444446,532,93.0,39.0,23.0,32.0,30.0,75.0,3.0,8.0,311.0,3.67,402.0,7.330827067669173,17.481203007518797
9,Tlalpan,Piedras Blancas,-99.22653805555555,19.200210277777778,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,Rancho Ramírez,-99.22395972222222,19.219549999999998,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,La Fortaleza,-99.23793333333333,19.203313055555554,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,La Pedrera,-99.17417611111111,19.20258527777778,92,14.0,6.0,3.0,8.0,2.0,9.0,1.0,8.01,52.0,3.83,45.0,6.521739130434782,15.217391304347828
9,Tlalpan,El Pedregal,-99.20581916666667,19.235834166666667,822,178.0,125.0,55.0,78.0,32.0,135.0,2.0,8.89,448.0,3.69,455.0,15.206812652068127,21.654501216545015
9,Tlalpan,El Sifón,-99.16942916666667,19.16373972222222,103,12.0,1.0,2.0,10.0,1.0,9.0,0.0,7.21,65.0,4.68,54.0,0.9708737864077669,11.650485436893204
9,Tlalpan,Chalcuitongo (La Asunción),-99.14507472222223,19.183609722222222,1048,207.0,72.0,53.0,95.0,59.0,149.0,4.0,8.45,526.0,3.88,715.0,6.870229007633588,19.751908396946565
9,Tlalpan,Siete Ocotes,-99.15751138888889,19.162299444444443,35,6.0,0.0,1.0,2.0,0.0,4.0,0.0,6.9,20.0,3.5,20.0,0.0,17.142857142857142
9,Tlalpan,El Charco,-99.22542138888889,19.234485,759,161.0,83.0,55.0,95.0,21.0,131.0,3.0,8.64,396.0,3.7,610.0,10.935441370223979,21.21212121212121
